agglomeration,Data_year,nombre_pieces_homogene,average_loyer_m2,average_surface,total_nombre_logements,total_nombre_observations
Agglomération de Toulon,2016,Ensemble 1P,14.182608695652174,28.782608695652176,37182.0,6000.0
Agglomération de Toulon,2016,Ensemble 2P,11.895652173913044,44.95652173913044,94493.0,14496.0
Agglomération de Toulon,2016,Ensemble 3P,10.2125,64.95833333333333,110891.0,15702.0
Agglomération de Draguignan,2016,Maison 1-3P,9.866666666666667,68.0,1836.0,201.0
Agglomération de Draguignan,2016,Ensemble 4P et plus,8.957142857142857,99.14285714285714,4866.0,1110.0
Agglomération de Draguignan,2016,Maison 4P et plus,9.066666666666666,110.33333333333333,3216.0,501.0
Agglomération de Draguignan,2016,Appart 1P,12.166666666666666,31.333333333333332,2020.0,387.0
Agglomération de Draguignan,2016,Appart 2P,11.0,46.25,5082.0,1107.0
Agglomération de Draguignan,2016,Appart 3P,9.15,69.25,5054.0,1380.0
Agglomération de Draguignan,2016,Appart 4P et plus,8.0,88.0,2202.0,609.0
Agglomération de Draguignan,2016,Ensemble 1P,12.333333333333334,32.0,1113.0,393.0
Agglomération de Draguignan,2016,Ensemble 2P,10.92,47.0,4566.0,1167.0
Agglomération de Draguignan,2016,Ensemble 3P,9.299999999999999,70.0,5873.0,1515.0
Agglomération de Fréjus,2016,Maison 1-3P,12.233333333333334,63.666666666666664,1858.0,192.0
Agglomération de Fréjus,2016,Ensemble 4P et plus,9.98,90.8,3755.0,1056.0
Agglomération de Fréjus,2016,Maison 4P et plus,10.066666666666666,112.0,1492.0,261.0
Agglomération de Fréjus,2016,Appart 1P,15.525,28.75,2870.0,858.0
Agglomération de Fréjus,2016,Appart 2P,13.05,47.0,7528.0,2148.0
Agglomération de Fréjus,2016,Appart 3P,11.275,66.75,7174.0,2271.0
Agglomération de Fréjus,2016,Appart 4P et plus,9.733333333333334,81.0,2748.0,795.0
Agglomération de Fréjus,2016,Ensemble 1P,14.700000000000001,30.833333333333332,2485.0,867.0
Agglomération de Fréjus,2016,Ensemble 2P,12.975,46.75,8121.0,2181.0
Agglomération de Fréjus,2016,Ensemble 3P,11.6875,67.125,8368.0,2421.0
La Roche-sur-Yon Agglomération,2016,Maison 1-3P,7.9,61.0,2264.0,442.0
La Roche-sur-Yon Agglomération,2016,Ensemble 4P et plus,6.7,96.0,2973.0,404.0
La Roche-sur-Yon Agglomération,2016,Maison 4P et plus,6.7,97.0,5006.0,670.0
La Roche-sur-Yon Agglomération,2016,Appart 1P,11.6,28.0,2836.0,602.0
